No.,ProjectID,ProjectName,ProjectGroup,ProjectYearSubmit,PUserID,DepartmentTH,FacultyTH,MinistryTH,OrganizationTH,Sex,Age,AgeRange,Patent,Publication,Poject5Y,YoungResearcher,ProvinceTH,Region,Expert,AcademicPositionTH
1,54,การกำจัดสีย้อมจากน้ำทิ้งจากงานอุตสาหกรรมทอผ้าและงานOTOP,การจัดการของเสียภายในโรงงาน,2551,38202,มหาวิทยาลัยศรีนครินทรวิโรฒ,คณะวิศวกรรมศาสตร์,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้หญิง,62,55-64,ไม่มีสิทธิบัตร,ไม่มีผลงานตีพิมพ์,ไม่มี,ไม่ใช่นักวิจัยรุ่นใหม่,กรุงเทพมหานคร,ภาคกลาง,-,ไม่พบข้อมูล
2,225,การกำจัดน้ำเสียที่มีเอทิลีนไกลคอลปนเปื้อนโดยใช้เถ้าลอยขี้เลื่อย,การจัดการของเสียภายในโรงงาน,2551,23169,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,คณะทรัพยากรชีวภาพและเทคโนโลยี,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้หญิง,57,55-64,มีสิทธิบัตร,มีผลงานตีพิมพ์,มี ,ไม่ใช่นักวิจัยรุ่นใหม่,กรุงเทพมหานคร,ภาคกลาง,"Air pollution,Adsorption,Bioremediation,Phytoremdiation,Wastewater treatment ,Waste utilisation ,Biohydrometallurgy",รองศาสตราจารย์
3,307,การประยุกต์ใช้จุลินทรีย์เร่งปุ๋ยหมัก จุลินทรีย์ย่อยสลายฟอสเฟตและจุลินทรีย์ตรึงไนโตรเจนในการทำปุ๋ยหมักจากวัสดุเหลือทิ้ง,การนำทรัพยากรที่ใช้แล้วนำกลับมาใช้ใหม่,2551,19572,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง ,คณะวิทยาศาสตร์,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้หญิง,53,45-54,ไม่มีสิทธิบัตร,ไม่มีผลงานตีพิมพ์,มี ,ไม่ใช่นักวิจัยรุ่นใหม่,กรุงเทพมหานคร,ภาคกลาง,"การพัฒนาเครื่องดื่มสุขภาพ และอาหารสุขภาพ,เทคโนโลยีสะอาด,การสืบค้นข้อมูลสิทธิบัตรเพื่อการวิจัยและพัฒนา การเขียนสิทธิบัตร,การพัฒนาผลิตภัณฑ์อาหาร เทคโนโลยีชีวภาพสิ่งแวดล้อม การใช้ประโยชน์จากของเสีย การผลิตปุุ๋ยชีวภาพ การบำบัดน้ำเสียทางชีวภาพ การเขียนแผนธุรกิจ การวิจัยทางการตลาด",รองศาสตราจารย์
4,395,การพัฒนารูปแบบการจัดการมูลฝอยชุมชนในเขตกรุงเทพมหานคร (ระยะที่ 2),การนำทรัพยากรที่ใช้แล้วนำกลับมาใช้ใหม่,2551,23168,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,คณะทรัพยากรชีวภาพและเทคโนโลยี,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้หญิง,57,55-64,ไม่มีสิทธิบัตร,มีผลงานตีพิมพ์,มี ,ไม่ใช่นักวิจัยรุ่นใหม่,กรุงเทพมหานคร,ภาคกลาง,-,ผู้ช่วยศาสตราจารย์
5,469,การวิจัยการผลิตน้ำส้มควันไม้จากเปลือกทุเรียน,การนำทรัพยากรที่ใช้แล้วนำกลับมาใช้ใหม่,2551,19604,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง ,คณะเทคโนโลยีการเกษตร,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้ชาย,46,45-54,ไม่มีสิทธิบัตร,ไม่มีผลงานตีพิมพ์,มี ,ไม่ใช่นักวิจัยรุ่นใหม่,กรุงเทพมหานคร,ภาคกลาง,เครื่องจักรกลการเกษตร พลังงานหมุนเวียน การถ่ายทอดเทคโนโลยีและนวัตกรรมเกษตร,ผู้ช่วยศาสตราจารย์
6,492,ไซลาโนไลติกและเซลลูโลไลติกเอนไซม์จาก Bacillus sp. สายพันธุ์ TW-1 ภายใต้สภาวะออกซิเจนและปราศจากออกซิเจน และการนำไปประยุกต์ใช้ (ระยะที่ 1),นวัตกรรมและเทคโนโลยีการบริหารจัดการขยะ,2551,35308,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,สถาบันพัฒนาและฝึกอบรมโรงงานต้นแบบ,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้ชาย,45,45-54,ไม่มีสิทธิบัตร,มีผลงานตีพิมพ์,มี ,นักวิจัยรุ่นใหม่,กรุงเทพมหานคร,ภาคกลาง,Enzyme Technology/ Biomass Utilization/ Bio-refinery/ Primary and secondary metabolized products in microorganism/ Protein Purification Technology,ผู้ช่วยศาสตราจารย์
7,571,การแยกโลหะเงินจากน้ำเสียที่เกิดจากกระบวนการล้าง-อัดภาพ โดยใช้ไคตินและไคตินบีด,การจัดการของเสียภายในโรงงาน,2551,23169,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,คณะทรัพยากรชีวภาพและเทคโนโลยี,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้หญิง,57,55-64,มีสิทธิบัตร,มีผลงานตีพิมพ์,มี ,ไม่ใช่นักวิจัยรุ่นใหม่,กรุงเทพมหานคร,ภาคกลาง,"Air pollution,Adsorption,Bioremediation,Phytoremdiation,Wastewater treatment ,Waste utilisation ,Biohydrometallurgy",รองศาสตราจารย์
8,695,การศึกษาการใช้สลัดจ์จากกระบวนการเอเอสเป็นแหล่งจุลินทรีย์ตั้งต้นสำหรับเริ่มต้นระบบบำบัดน้ำเสียแบบไม่ใช้อากาศ,นวัตกรรมและเทคโนโลยีการบริหารจัดการขยะ,2551,23424,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,สถาบันพัฒนาและฝึกอบรมโรงงานต้นแบบ,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้ชาย,44,35-44,ไม่มีสิทธิบัตร,มีผลงานตีพิมพ์,ไม่มี,นักวิจัยรุ่นใหม่,กรุงเทพมหานคร,ภาคกลาง,-,ไม่มีตำแหน่งทางวิชาการ
9,851,การพัฒนาอุตสาหกรรมวัสดุทดแทนไม้จากไม้ปาล์มน้ำมัน เศษไม้ และวัสดุเหลือทิ้งจากการเกษตรอื่น ๆ,นวัตกรรมและเทคโนโลยีการบริหารจัดการขยะ,2551,20564,กรมป่าไม้,สำนักวิจัยและพัฒนาการป่าไม้,กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม ,ภาครัฐบาล,ผู้ชาย,64,55-64,ไม่มีสิทธิบัตร,ไม่มีผลงานตีพิมพ์,มี ,ไม่ใช่นักวิจัยรุ่นใหม่,กรุงเทพมหานคร,ภาคกลาง,-,ไม่พบข้อมูล
10,1087,การบริหารจัดการความหลากหลายทางชีวภาพในพื้นที่กลุ่มป่าแก่งกระจาน,การแปรรูปขยะมูลฝอย,2551,37717,-,-,บริษัท/อื่นๆ,ภาคเอกชน,ผู้ชาย,72,65 ปีขึ้นไป,ไม่มีสิทธิบัตร,ไม่มีผลงานตีพิมพ์,ไม่มี,ไม่ใช่นักวิจัยรุ่นใหม่,กรุงเทพมหานคร,ภาคกลาง,-,ไม่พบข้อมูล
