ID,YEAR,MONTH,CIRCUIT_NO,APP_CODE,REGION,VILLAGE,SUBDISTRICT,DISTRICT,PROVINCE,AP_NAME,IP_ADDRESS,UPLOAD,DOWNLOAD,NUM_USERS,NUM_DEVICES
1,2564,พฤษภาคม,7561d9000,SR664610,ภ.4,หมู่ 2 คลองหมาก,เกาะลันตาน้อย,เกาะลันตา,กระบี่,KBI-SR664610,172.18.168.2,"9,641.22","236,536.95","1,060",155
2,2564,พฤษภาคม,4485d9000,SR711371,ภ.2,หมู่ 13 บ้านมะเกลือ,บ้านกอก,จัตุรัส,ชัยภูมิ,CPM-SR711371,172.16.140.2,"7,949.49","129,684.64",572,52
3,2564,พฤษภาคม,4485d9001,SR711374,ภ.2,หมู่ 17 บ้านโนนทอง,บ้านกอก,จัตุรัส,ชัยภูมิ,CPM-SR711374,172.16.140.10,"1,781.58","28,773.12",594,98
4,2564,พฤษภาคม,4486d9000,SR711628,ภ.2,หมู่ 1 เพชร,บ้านเพชร,ภูเขียว,ชัยภูมิ,CPM-SR711628,172.16.140.50,"2,397.82","41,429.45",432,145
5,2564,พฤษภาคม,4486d9001,SR711630,ภ.2,หมู่ 8 เพชรใต้,บ้านเพชร,ภูเขียว,ชัยภูมิ,CPM-SR711630,172.16.140.58,"1,517.79","39,459.89",709,262
6,2564,พฤษภาคม,4486d9002,SR711631,ภ.2,หมู่ 9 กุดตูม,บ้านเพชร,ภูเขียว,ชัยภูมิ,CPM-SR711631,172.16.140.66,"16,107.98","276,032.62",811,67
7,2564,พฤษภาคม,4486d9003,SR711641,ภ.2,หมู่ 16 โคกสะอาด,โคกสะอาด,ภูเขียว,ชัยภูมิ,CPM-SR711641,172.16.140.74,"15,612.53","266,449.03","1,575",114
8,2564,พฤษภาคม,4481d9000,SR711715,ภ.2,หมู่ 3 นางเม้ง,โพนทอง,เมืองชัยภูมิ,ชัยภูมิ,CPM-SR711715,172.16.140.18,"12,309.15","247,137.74","1,243",111
9,2564,พฤษภาคม,4481d9001,SR711716,ภ.2,หมู่ 4 หนองหญ้ารังกา,โพนทอง,เมืองชัยภูมิ,ชัยภูมิ,CPM-SR711716,172.16.140.26,"11,522.16","137,632.64","1,208",193
10,2564,พฤษภาคม,4481d9002,SR711732,ภ.2,หมู่ 5 หนองคอนไทย,กุดตุ้ม,เมืองชัยภูมิ,ชัยภูมิ,CPM-SR711732,172.16.140.34,"6,725.94","222,538.95",946,88
